HBName,year,error6,percentage_6
NHS Ayrshire and Arran,2017,2,1.23
NHS Ayrshire and Arran,2018,2,1.2
NHS Ayrshire and Arran,2019,2,1.05
NHS Ayrshire and Arran,2020,7,2.7
NHS Ayrshire and Arran,2021,3,3.03
NHS Borders,2017,0,0
NHS Borders,2018,0,0
NHS Borders,2019,0,0
NHS Borders,2020,0,0
NHS Borders,2021,0,0
NHS Dumfries and Galloway,2017,0,0
NHS Dumfries and Galloway,2018,0,0
NHS Dumfries and Galloway,2019,0,0
NHS Dumfries and Galloway,2020,0,0
NHS Dumfries and Galloway,2021,0,0
NHS Fife,2017,0,0
NHS Fife,2018,0,0
NHS Fife,2019,0,0
NHS Fife,2020,0,0
NHS Fife,2021,0,0
NHS Forth Valley,2017,0,0
NHS Forth Valley,2018,0,0
NHS Forth Valley,2019,0,0
NHS Forth Valley,2020,0,0
NHS Forth Valley,2021,0,0
NHS Grampian,2017,0,0
NHS Grampian,2018,0,0
NHS Grampian,2019,0,0
NHS Grampian,2020,0,0
NHS Grampian,2021,0,0
NHS Greater Glasgow and Clyde,2017,2,0.39
NHS Greater Glasgow and Clyde,2018,1,0.14
NHS Greater Glasgow and Clyde,2019,13,1.58
NHS Greater Glasgow and Clyde,2020,27,2.99
NHS Greater Glasgow and Clyde,2021,1,0.17
NHS Highland,2017,0,0
NHS Highland,2018,4,3.88
NHS Highland,2019,5,4.1
NHS Highland,2020,3,2.26
NHS Highland,2021,2,4.08
NHS Lanarkshire,2017,0,0
NHS Lanarkshire,2018,0,0
NHS Lanarkshire,2019,0,0
NHS Lanarkshire,2020,0,0
NHS Lanarkshire,2021,0,0
NHS Lothian,2017,1,0.19
NHS Lothian,2018,6,1.1400000000000001
NHS Lothian,2019,5,1.03
NHS Lothian,2020,4,0.81
NHS Lothian,2021,0,0
NHS Orkney,2017,0,0
NHS Orkney,2019,0,0
NHS Orkney,2020,0,0
NHS Orkney,2021,0,0
NHS Shetland,2020,0,0
NHS Shetland,2021,0,0
NHS Tayside,2017,3,1.26
NHS Tayside,2018,2,0.9
NHS Tayside,2019,3,1.35
NHS Tayside,2020,0,0
NHS Tayside,2021,0,0
NHS Western Isles,2018,0,0
NHS Western Isles,2020,0,0
NHS Western Isles,2021,0,0
