HBName,year,error1,percentage_1
NHS Ayrshire and Arran,2017,5,15.62
NHS Ayrshire and Arran,2018,5,15.62
NHS Ayrshire and Arran,2019,7,25.93
NHS Ayrshire and Arran,2020,7,22.58
NHS Ayrshire and Arran,2021,2,16.67
NHS Borders,2017,2,100
NHS Borders,2018,4,80
NHS Borders,2019,3,50
NHS Borders,2020,1,33.33
NHS Borders,2021,0,0
NHS Dumfries and Galloway,2017,11,100
NHS Dumfries and Galloway,2018,8,100
NHS Dumfries and Galloway,2019,10,100
NHS Dumfries and Galloway,2020,8,88.89
NHS Dumfries and Galloway,2021,2,50
NHS Fife,2017,0,0
NHS Fife,2018,1,4
NHS Fife,2019,1,4.55
NHS Fife,2020,3,11.11
NHS Fife,2021,2,20
NHS Forth Valley,2017,25,96.15
NHS Forth Valley,2018,42,95.45
NHS Forth Valley,2019,19,86.36
NHS Forth Valley,2020,20,83.33
NHS Forth Valley,2021,8,100
NHS Grampian,2017,35,87.5
NHS Grampian,2018,30,61.22
NHS Grampian,2019,34,77.27
NHS Grampian,2020,38,80.85
NHS Grampian,2021,9,90
NHS Greater Glasgow and Clyde,2017,75,75.76
NHS Greater Glasgow and Clyde,2018,26,23.21
NHS Greater Glasgow and Clyde,2019,25,21.55
NHS Greater Glasgow and Clyde,2020,42,34.71
NHS Greater Glasgow and Clyde,2021,6,12
NHS Highland,2017,2,10.53
NHS Highland,2018,9,45
NHS Highland,2019,8,40
NHS Highland,2020,7,24.14
NHS Highland,2021,2,25
NHS Lanarkshire,2017,15,51.72
NHS Lanarkshire,2018,9,36
NHS Lanarkshire,2019,7,26.92
NHS Lanarkshire,2020,9,20
NHS Lanarkshire,2021,5,33.33
NHS Lothian,2017,22,31.88
NHS Lothian,2018,21,34.43
NHS Lothian,2019,11,22.92
NHS Lothian,2020,12,21.43
NHS Lothian,2021,5,33.33
NHS Orkney,2019,1,100
NHS Tayside,2017,10,29.41
NHS Tayside,2018,10,34.48
NHS Tayside,2019,6,18.18
NHS Tayside,2020,6,17.65
NHS Tayside,2021,5,45.45
NHS Western Isles,2018,1,100
